fid,DAUID,DGUID,LANDAREA,PRUID,lon,lat,area-DAs(s,flood-area,flood-prc,parks-area
1,"59150307",2021S051259150307,0.299100000000000,"59",-123.025980,49.288743,295589.227,2902.849388529270072,0.982055203652405,3464.191000
2,"59150308",2021S051259150308,0.109600000000000,"59",-123.025839,49.284312,109179.076,0.000000000000000,0.000000000000000,
3,"59150309",2021S051259150309,0.111900000000000,"59",-123.029587,49.282958,111904.378,0.000000000000000,0.000000000000000,
4,"59150310",2021S051259150310,0.109400000000000,"59",-123.025860,49.281583,109224.744,0.000000000000000,0.000000000000000,
5,"59150311",2021S051259150311,0.080900000000000,"59",-123.028832,49.279066,80935.219,0.000000000000000,0.000000000000000,
6,"59150312",2021S051259150312,0.087100000000000,"59",-123.025559,49.278595,86507.010,0.000000000000000,0.000000000000000,
7,"59150313",2021S051259150313,0.172800000000000,"59",-123.027535,49.276053,171780.676,0.000000000000000,0.000000000000000,41836.957000
8,"59150328",2021S051259150328,0.232200000000000,"59",-123.026189,49.272389,229418.877,146535.255086325574666,63.872361892511471,15422.344000
9,"59150329",2021S051259150329,0.308500000000000,"59",-123.032190,49.272353,308541.861,4126.614784370642155,1.337457022527306,118372.290000
10,"59150330",2021S051259150330,0.078200000000000,"59",-123.035542,49.274461,78201.188,0.000000000000000,0.000000000000000,
11,"59150331",2021S051259150331,0.154400000000000,"59",-123.038238,49.271750,154408.698,0.000000000000000,0.000000000000000,
12,"59150332",2021S051259150332,0.111800000000000,"59",-123.040872,49.274313,111814.212,0.000000000000000,0.000000000000000,
13,"59150333",2021S051259150333,0.099600000000000,"59",-123.042362,49.271161,99621.288,0.000000000000000,0.000000000000000,
14,"59150334",2021S051259150334,0.087800000000000,"59",-123.046101,49.273597,87757.884,0.000000000000000,0.000000000000000,
15,"59150335",2021S051259150335,0.095700000000000,"59",-123.046547,49.270757,95660.691,0.000000000000000,0.000000000000000,
16,"59150336",2021S051259150336,0.135700000000000,"59",-123.051102,49.271219,135736.235,0.000000000000000,0.000000000000000,30522.402000
17,"59150337",2021S051259150337,0.097900000000000,"59",-123.054694,49.271799,97867.717,0.000000000000000,0.000000000000000,
18,"59150338",2021S051259150338,0.075300000000000,"59",-123.054524,49.274339,75286.290,0.000000000000000,0.000000000000000,
19,"59150339",2021S051259150339,0.097100000000000,"59",-123.058799,49.274218,97086.181,0.000000000000000,0.000000000000000,
20,"59150340",2021S051259150340,0.079300000000000,"59",-123.054077,49.276357,79280.822,0.000000000000000,0.000000000000000,
21,"59150341",2021S051259150341,0.064600000000000,"59",-123.061077,49.277048,64632.561,0.000000000000000,0.000000000000000,
22,"59150342",2021S051259150342,0.080300000000000,"59",-123.060625,49.275451,80278.966,0.000000000000000,0.000000000000000,
23,"59150343",2021S051259150343,0.060700000000000,"59",-123.064189,49.275407,60746.614,0.000000000000000,0.000000000000000,
24,"59150344",2021S051259150344,0.058200000000000,"59",-123.063711,49.273056,58239.386,0.000000000000000,0.000000000000000,
25,"59150345",2021S051259150345,0.085300000000000,"59",-123.068582,49.273342,85315.992,0.000000000000000,0.000000000000000,8935.238000
26,"59150346",2021S051259150346,0.069000000000000,"59",-123.067124,49.271018,68951.863,0.000000000000000,0.000000000000000,8905.987000
