,Result
0,0.04203552218790097
1,-0.039565742622262555
2,-0.03291257333610975
3,0.048563523147962265
4,-0.004697085408258254
5,-0.03745149886782443
6,-0.03113502504760882
7,-0.03976453484454091
8,-0.02701378473567075
9,0.07977217326291057
10,-0.022826059269136494
11,-0.0690799449839728
12,-0.047158802826067374
13,-0.08978916780904715
14,-0.027501795134532336
15,0.0
16,-0.06422093772437831
17,-0.04264795207157831
18,0.037774219147926516
19,0.058036610877787054
20,-0.020634891443094716
21,0.032442096475758145
22,-0.04165173388379313
23,0.027747721229936944
24,0.080946981156435
25,-0.03477430357227328
26,-0.03629581575721446
27,-0.15744814315502045
28,-0.05079235441323758
