,GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
0,59150307,0.33,0.27,1.46,-0.1,-0.38,0.02,0.2,-0.09,-0.63,-0.73,0.27,-0.3,-0.17,0.24,0.21,-0.04,-0.25,0.02,-0.06,-0.35,-0.99,-1.02,-0.15,-0.82,-0.88,0.68,1.37,0.15,0.31
1,59150308,0.85,-0.64,1.17,-0.1,0.6,0.04,-0.59,-0.09,-0.63,-0.18,-0.85,-0.44,0.11,0.13,0.31,-0.11,-0.08,0.05,-0.21,0.01,-0.7,-0.95,-0.15,-0.43,-0.86,2.93,0.92,0.58,0.65
2,59150309,1.0,-0.86,-0.83,-0.1,-0.44,0.17,-0.45,-0.09,0.18,-0.18,0.06,-0.03,0.36,-0.44,0.43,-0.39,0.2,-0.1,-0.97,-0.47,0.72,-0.53,-0.15,-0.77,-0.37,-0.45,0.22,-0.77,-0.57
3,59150310,1.38,0.85,0.52,-0.1,0.36,0.42,0.27,-0.09,0.38,-0.57,0.6,0.19,0.81,0.52,0.37,1.52,-0.26,-1.41,0.65,-0.17,1.61,1.33,-0.15,1.25,-0.55,0.13,-1.11,-0.85,-1.5
4,59150311,-0.42,1.72,0.77,-0.1,-0.41,0.17,-0.21,-0.09,-0.63,0.93,-0.85,0.41,1.57,-0.1,0.32,0.68,0.73,0.5,0.02,-1.17,-0.46,-0.25,-0.15,-0.06,0.45,-1.4,0.61,0.01,0.54
5,59150312,0.05,1.03,-0.11,-0.1,0.23,0.07,0.23,-0.09,-0.63,0.84,-0.36,0.21,-0.1,-1.17,0.34,-0.44,-0.17,-0.35,-1.46,0.04,0.35,-0.36,-0.15,-0.71,0.47,-1.4,0.42,-0.46,-0.7
6,59150313,-0.58,0.43,-0.96,-0.1,-0.44,0.3,-0.13,-0.09,-0.63,-0.05,-0.15,0.48,-0.46,0.11,0.6,-1.32,0.81,0.27,-0.15,-1.27,0.85,0.22,-0.15,-1.06,-0.06,-0.55,0.29,0.81,0.68
7,59150328,-1.28,-0.84,0.41,-0.1,0.6,0.19,-0.13,-0.09,-0.63,0.61,-0.85,0.09,-0.46,-0.01,0.32,-0.74,0.61,0.03,-0.09,-0.7,0.15,-0.35,-0.15,-0.17,0.87,1.0,0.22,0.36,-0.75
8,59150329,-0.29,-1.17,-1.11,-0.1,0.6,0.32,0.7,-0.09,-0.63,0.86,0.9,0.72,-0.21,-0.31,0.37,0.05,1.05,0.06,-0.74,-1.07,-0.08,-0.1,-0.15,0.06,0.74,0.36,0.42,-0.55,-0.39
9,59150330,-1.19,0.74,-1.56,-0.1,0.2,0.14,-0.09,-0.09,-0.63,1.55,-0.02,0.48,0.93,0.13,0.34,-0.63,0.76,0.69,-1.47,-0.75,0.35,-0.52,-0.15,-0.09,0.79,-0.41,0.61,-0.11,0.08
