GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
59150307,61.81818181818181,6.779661016949152,23.7,0.0,96.3,89.46943715957232,23.1,0.0,0.0,12.7,7.7,12.7,1.4,7.4,82.54716981132076,16.2,9.3,30.158730158730158,51.9,60.2,11.5,27.8,0.0,22.6,33.1,10.5,7.2,77.8,27.799999999999997
59150308,68.08510638297872,4.25531914893617,21.9,0.0,100.0,89.67117207988703,17.1,0.0,0.0,21.8,0.0,11.6,2.7,6.8,85.03668763102725,15.7,10.6,30.434782608695656,50.0,64.9,14.6,29.5,0.0,26.7,33.6,21.9,6.5,86.3,31.799999999999997
59150309,70.0,3.6363636363636362,9.5,0.0,96.1,91.28505144240468,18.2,0.0,1.6,21.9,6.3,15.0,3.9,3.8,87.78825995807128,13.4,12.8,28.8135593220339,40.4,58.7,29.5,38.5,0.0,23.1,45.3,4.8,5.4,59.699999999999996,17.3
59150310,74.6268656716418,8.396946564885496,17.9,0.0,99.1,94.45228969134557,23.6,0.0,2.0,15.3,10.0,16.8,6.0,8.9,86.47798742138365,28.8,9.2,14.0625,60.8,62.6,38.9,78.5,0.0,44.3,40.9,7.7,3.3,58.300000000000004,6.3
59150311,52.63157894736842,10.843373493975903,19.4,0.0,96.2,91.28505144240468,20.0,0.0,0.0,40.4,0.0,18.6,9.6,5.6,85.16771488469601,22.0,16.9,35.55555555555556,52.8,49.4,17.1,44.4,0.0,30.6,64.9,0.0,6.0,75.0,30.5
59150312,58.333333333333336,8.91089108910891,14.0,0.0,98.6,90.07464192051644,23.3,0.0,0.0,39.0,3.4,17.0,1.7,0.0,85.69182389937107,13.0,9.9,25.925925925925924,34.2,65.3,25.6,42.1,0.0,23.7,65.3,0.0,5.7,65.8,15.8
59150313,50.588235294117645,7.228915662650602,8.7,0.0,96.1,92.87875731289085,20.6,0.0,0.0,24.1,4.8,19.2,0.0,6.7,91.71907756813417,5.9,17.5,32.926829268292686,50.7,48.2,30.9,54.7,0.0,20.0,52.7,4.3,5.5,90.7,32.1
59150328,42.10526315789473,3.7037037037037033,17.2,0.0,100.0,91.58765382287675,20.6,0.0,0.0,35.1,0.0,16.0,0.0,6.1,85.16771488469601,10.6,16.0,30.23255813953488,51.5,55.6,23.5,42.4,0.0,29.4,75.0,12.1,5.4,81.9,15.2
59150329,54.166666666666664,2.7777777777777777,7.8,0.0,100.0,93.12083921726851,26.8,0.0,0.0,39.3,12.1,21.2,1.2,4.5,86.47798742138365,17.0,19.4,30.555555555555557,43.3,50.7,21.1,47.8,0.0,31.8,71.7,8.9,5.7,64.19999999999999,19.5
59150330,43.103448275862064,8.108108108108109,5.0,0.0,98.5,90.98244906193261,20.9,0.0,0.0,50.8,5.7,19.2,6.6,6.8,85.69182389937107,11.5,17.1,37.735849056603776,34.1,55.0,25.6,38.6,0.0,30.2,73.0,5.0,6.0,72.7,25.0
