DGUID,Latitude,Longitude,SoVI,geometry,area
2021S051259150307,49.289,-123.026,45.96137041,-123.026  49.289,295589.2273
2021S051259150308,49.284,-123.026,39.2760081,-123.026  49.284,109179.0761
2021S051259150309,49.283,-123.03,47.78119371,-123.03  49.283,111904.3784
2021S051259150310,49.282,-123.026,49.25503128,-123.026  49.282,109224.7438
2021S051259150311,49.279,-123.029,51.72069731,-123.029  49.279,80935.21867
2021S051259150312,49.279,-123.026,48.05154505,-123.026  49.279,86507.00977
2021S051259150313,49.276,-123.028,57.17333347,-123.028  49.276,171780.676
2021S051259150328,49.272,-123.026,43.40077046,-123.026  49.272,229418.8766
2021S051259150329,49.272,-123.032,54.17373967,-123.032  49.272,308541.8608
2021S051259150330,49.274,-123.036,50.94402555,-123.036  49.274,78201.18845
2021S051259150331,49.272,-123.038,54.62829516,-123.038  49.272,154408.6984
2021S051259150332,49.274,-123.041,53.47523318,-123.041  49.274,111814.2119
2021S051259150333,49.271,-123.042,53.16423267,-123.042  49.271,99621.28778
2021S051259150334,49.274,-123.046,47.88578443,-123.046  49.274,87757.88405
2021S051259150335,49.271,-123.047,55.70476501,-123.047  49.271,95660.69122
2021S051259150336,49.271,-123.051,48.43762419,-123.051  49.271,135736.2345
2021S051259150337,49.272,-123.055,48.29612213,-123.055  49.272,97867.71735
2021S051259150338,49.274,-123.055,43.54897045,-123.055  49.274,75286.28974
2021S051259150339,49.274,-123.059,47.69598854,-123.059  49.274,97086.18138
2021S051259150340,49.276,-123.054,49.6950864,-123.054  49.276,79280.82163
2021S051259150341,49.277,-123.061,51.22113395,-123.061  49.277,64632.56083
2021S051259150342,49.275,-123.061,39.86738341,-123.061  49.275,80278.96625
2021S051259150343,49.275,-123.064,36.81079459,-123.064  49.275,60746.61389
2021S051259150344,49.273,-123.064,41.42295037,-123.064  49.273,58239.38556
2021S051259150345,49.273,-123.069,41.67424729,-123.069  49.273,85315.99239
2021S051259150346,49.271,-123.067,42.4892519,-123.067  49.271,68951.86333
2021S051259150347,49.271,-123.07,44.40151001,-123.07  49.271,65657.13812
2021S051259150348,49.272,-123.072,41.55762856,-123.072  49.272,39211.30791
2021S051259150349,49.273,-123.073,51.96156353,-123.073  49.273,35780.01697
2021S051259150350,49.272,-123.076,72.56657227,-123.076  49.272,101982.6611
2021S051259150351,49.27,-123.073,38.94027987,-123.073  49.27,28300.52684
2021S051259150352,49.269,-123.075,63.28719781,-123.075  49.269,56094.28764
2021S051259150353,49.269,-123.072,46.56676755,-123.072  49.269,41572.9217
2021S051259150354,49.268,-123.071,45.93622338,-123.071  49.268,43047.99651
2021S051259150355,49.266,-123.072,65.1655857,-123.072  49.266,27452.30181
2021S051259150356,49.266,-123.068,43.54912013,-123.068  49.266,85221.75598
2021S051259150357,49.265,-123.072,51.79053289,-123.072  49.265,86904.29699
2021S051259150358,49.264,-123.068,36.88985592,-123.068  49.264,86754.06654
2021S051259150359,49.263,-123.073,58.28051279,-123.073  49.263,42193.2728
2021S051259150360,49.262,-123.069,51.27512672,-123.069  49.262,88050.23263
2021S051259150361,49.26,-123.072,44.83793176,-123.072  49.26,56136.08895
2021S051259150362,49.26,-123.068,47.38214395,-123.068  49.26,56000.96579
2021S051259150363,49.258,-123.072,38.89768195,-123.072  49.258,97135.28941
