DGUID,SoVI,Latitude,Longitude,geometry,area
2021S051259150307,41.51490934,49.289,-123.026,-123.026  49.289,295589.2273
2021S051259150308,35.59992457,49.284,-123.026,-123.026  49.284,109179.0761
2021S051259150309,44.146151,49.283,-123.03,-123.03  49.283,111904.3784
2021S051259150310,45.16915944,49.282,-123.026,-123.026  49.282,109224.7438
2021S051259150311,46.88440432,49.279,-123.029,-123.029  49.279,80935.21867
2021S051259150312,44.04264894,49.279,-123.026,-123.026  49.279,86507.00977
2021S051259150313,53.94040387,49.276,-123.028,-123.028  49.276,171780.676
2021S051259150328,40.59889476,49.272,-123.026,-123.026  49.272,229418.8766
2021S051259150329,48.72507935,49.272,-123.032,-123.032  49.272,308541.8608
2021S051259150330,47.60222098,49.274,-123.036,-123.036  49.274,78201.18845
2021S051259150331,52.97307779,49.272,-123.038,-123.038  49.272,154408.6984
2021S051259150332,51.02496005,49.274,-123.041,-123.041  49.274,111814.2119
2021S051259150333,50.82502979,49.271,-123.042,-123.042  49.271,99621.28778
2021S051259150334,46.08500764,49.274,-123.046,-123.046  49.274,87757.88405
2021S051259150335,51.40775482,49.271,-123.047,-123.047  49.271,95660.69122
2021S051259150336,42.46551224,49.271,-123.051,-123.051  49.271,135736.2345
2021S051259150337,43.29779387,49.272,-123.055,-123.055  49.272,97867.71735
2021S051259150338,40.29310845,49.274,-123.055,-123.055  49.274,75286.28974
2021S051259150339,44.82526853,49.274,-123.059,-123.059  49.274,97086.18138
2021S051259150340,46.45264624,49.276,-123.054,-123.054  49.276,79280.82163
2021S051259150341,47.57462193,49.277,-123.061,-123.061  49.277,64632.56083
2021S051259150342,37.63857659,49.275,-123.061,-123.061  49.275,80278.96625
2021S051259150343,32.39207742,49.275,-123.064,-123.064  49.275,60746.61389
2021S051259150344,37.69624371,49.273,-123.064,-123.064  49.273,58239.38556
2021S051259150345,34.87541912,49.273,-123.069,-123.069  49.273,85315.99239
2021S051259150346,38.39075487,49.271,-123.067,-123.067  49.271,68951.86333
2021S051259150347,40.0382748,49.271,-123.07,-123.07  49.271,65657.13812
2021S051259150348,36.5467619,49.272,-123.072,-123.072  49.272,39211.30791
2021S051259150349,43.02660425,49.273,-123.073,-123.073  49.273,35780.01697
2021S051259150350,69.61824043,49.272,-123.076,-123.076  49.272,101982.6611
2021S051259150351,34.25919318,49.27,-123.073,-123.073  49.27,28300.52684
2021S051259150352,61.70618293,49.269,-123.075,-123.075  49.269,56094.28764
2021S051259150353,43.11147587,49.269,-123.072,-123.072  49.269,41572.9217
2021S051259150354,42.93839413,49.268,-123.071,-123.071  49.268,43047.99651
2021S051259150355,57.01027196,49.266,-123.072,-123.072  49.266,27452.30181
2021S051259150356,38.3564195,49.266,-123.068,-123.068  49.266,85221.75598
2021S051259150357,48.18902465,49.265,-123.072,-123.072  49.265,86904.29699
2021S051259150358,31.43189479,49.264,-123.068,-123.068  49.264,86754.06654
2021S051259150359,51.3589109,49.263,-123.073,-123.073  49.263,42193.2728
2021S051259150360,47.50046159,49.262,-123.069,-123.069  49.262,88050.23263
2021S051259150361,41.75416503,49.26,-123.072,-123.072  49.26,56136.08895
2021S051259150362,45.58402466,49.26,-123.068,-123.068  49.26,56000.96579
2021S051259150363,34.69058438,49.258,-123.072,-123.072  49.258,97135.28941
2021S051259150364,37.03785417,49.258,-123.068,-123.068  49.258,57779.67618
2021S051259150365,37.99288141,49.255,-123.068,-123.068  49.255,67520.77981
2021S051259150366,43.50989814,49.255,-123.073,-123.073  49.255,117286.8732
2021S051259150367,42.34117175,49.253,-123.069,-123.069  49.253,101428.4422
2021S051259150368,46.17404233,49.253,-123.074,-123.074  49.253,74101.8032
2021S051259150369,47.4164625,49.251,-123.072,-123.072  49.251,77504.69398
2021S051259150371,44.7814471,49.253,-123.078,-123.078  49.253,71209.45409
2021S051259150373,36.58050401,49.25,-123.081,-123.081  49.25,117227.8518
2021S051259150375,50.65801823,49.246,-123.082,-123.082  49.246,73801.11565
2021S051259150376,42.81478927,49.246,-123.084,-123.084  49.246,67478.35677
2021S051259150377,38.43426228,49.244,-123.086,-123.086  49.244,66880.24362
2021S051259150378,46.6393441,49.244,-123.089,-123.089  49.244,57861.35755
2021S051259150379,44.23986951,49.241,-123.088,-123.088  49.241,79974.93686
2021S051259150380,49.4394295,49.239,-123.089,-123.089  49.239,56795.55117
2021S051259150381,43.18755867,49.239,-123.085,-123.085  49.239,72685.4856
2021S051259150382,46.4550178,49.237,-123.088,-123.088  49.237,66575.34109
2021S051259150383,41.0882568,49.237,-123.084,-123.084  49.237,63371.08957
2021S051259150384,41.33526752,49.236,-123.088,-123.088  49.236,58048.89207
2021S051259150385,45.34106358,49.235,-123.083,-123.083  49.235,68768.71561
2021S051259150386,49.08411356,49.234,-123.087,-123.087  49.234,111555.155
2021S051259150387,50.68562862,49.234,-123.082,-123.082  49.234,63652.10698
2021S051259150388,52.91652866,49.231,-123.087,-123.087  49.231,281174.9073
2021S051259150389,54.97260072,49.231,-123.081,-123.081  49.231,102279.2485
2021S051259150390,49.65218989,49.227,-123.082,-123.082  49.227,114792.3235
2021S051259150391,68.11259297,49.229,-123.078,-123.078  49.229,67004.51586
2021S051259150392,53.3392715,49.227,-123.077,-123.077  49.227,136774.4857
2021S051259150393,46.39810308,49.227,-123.073,-123.073  49.227,83462.32505
2021S051259150394,59.11433112,49.227,-123.07,-123.07  49.227,78923.09683
2021S051259150395,61.34898018,49.229,-123.067,-123.067  49.229,79292.8218
2021S051259150396,68.98444233,49.231,-123.07,-123.07  49.231,125797.9841
2021S051259150397,55.01770382,49.23,-123.073,-123.073  49.23,59630.16435
2021S051259150398,42.4648447,49.231,-123.075,-123.075  49.231,64009.44609
2021S051259150399,52.95554876,49.232,-123.078,-123.078  49.232,65396.19533
2021S051259150400,57.57750906,49.234,-123.077,-123.077  49.234,95767.78086
2021S051259150401,54.32971508,49.235,-123.073,-123.073  49.235,92648.035
2021S051259150402,45.44660972,49.237,-123.076,-123.076  49.237,170393.8919
2021S051259150403,49.21785064,49.238,-123.072,-123.072  49.238,94896.59741
2021S051259150404,47.71293889,49.239,-123.07,-123.07  49.239,56436.57351
2021S051259150405,52.05574082,49.239,-123.067,-123.067  49.239,65425.09284
2021S051259150406,53.74118822,49.241,-123.069,-123.069  49.241,111779.4028
2021S051259150407,58.46862863,49.243,-123.071,-123.071  49.243,97082.44713
2021S051259150408,52.89829962,49.245,-123.068,-123.068  49.245,81861.66976
2021S051259150409,54.02452568,49.245,-123.07,-123.07  49.245,59610.17505
2021S051259150410,44.28674259,49.246,-123.072,-123.072  49.246,86838.04181
2021S051259150412,53.02696536,49.246,-123.078,-123.078  49.246,59049.10306
2021S051259150414,56.97753333,49.241,-123.078,-123.078  49.241,71066.82264
2021S051259150415,53.02171231,49.243,-123.075,-123.075  49.243,117426.3824
2021S051259150416,50.66225674,49.239,-123.08,-123.08  49.239,89331.2279
2021S051259150417,42.20828963,49.236,-123.08,-123.08  49.236,71007.87881
2021S051259150419,38.86433746,49.242,-123.084,-123.084  49.242,91446.4651
2021S051259150420,49.30925806,49.249,-123.069,-123.069  49.249,86113.50601
2021S051259150421,59.386399,49.248,-123.066,-123.066  49.248,100279.6801
2021S051259150422,38.77781765,49.251,-123.067,-123.067  49.251,86970.53641
2021S051259150423,56.0994721,49.249,-123.063,-123.063  49.249,132952.9146
2021S051259150424,44.65053448,49.252,-123.062,-123.062  49.252,150503.2382
2021S051259150425,54.9385733,49.251,-123.058,-123.058  49.251,87418.58963
2021S051259150426,46.98078465,49.255,-123.061,-123.061  49.255,285944.7078
2021S051259150427,37.3975331,49.255,-123.055,-123.055  49.255,102616.8631
2021S051259150428,51.27035742,49.255,-123.051,-123.051  49.255,150483.2285
2021S051259150429,46.94765469,49.252,-123.054,-123.054  49.252,109311.7399
2021S051259150430,40.69969763,49.249,-123.054,-123.054  49.249,83256.3165
2021S051259150431,45.38724653,49.249,-123.05,-123.05  49.249,104006.7285
2021S051259150432,52.45350773,49.247,-123.053,-123.053  49.247,132457.9541
2021S051259150433,52.30434829,49.246,-123.055,-123.055  49.246,63003.76466
2021S051259150434,51.43130246,49.244,-123.053,-123.053  49.244,68745.50451
2021S051259150435,58.05524282,49.242,-123.056,-123.056  49.242,68775.37399
2021S051259150436,53.44026743,49.242,-123.052,-123.052  49.242,108577.1269
2021S051259150437,54.18680294,49.24,-123.057,-123.057  49.24,103816.4544
2021S051259150438,56.66573234,49.239,-123.05,-123.05  49.239,88163.0371
2021S051259150439,50.02102511,49.237,-123.051,-123.051  49.237,102628.766
2021S051259150440,55.04123509,49.237,-123.056,-123.056  49.237,113059.3937
2021S051259150442,48.85663099,49.234,-123.051,-123.051  49.234,104672.3863
2021S051259150443,47.24564666,49.231,-123.053,-123.053  49.231,118551.5094
2021S051259150444,52.19798518,49.231,-123.049,-123.049  49.231,101509.4235
2021S051259150445,48.11145944,49.229,-123.051,-123.051  49.229,88095.09114
2021S051259150446,43.81193117,49.227,-123.05,-123.05  49.227,83645.29293
2021S051259150447,56.32081595,49.226,-123.053,-123.053  49.226,78761.87094
2021S051259150448,56.93445637,49.223,-123.053,-123.053  49.223,101408.9858
2021S051259150449,47.69984874,49.222,-123.051,-123.051  49.222,118275.0351
2021S051259150450,46.13943968,49.222,-123.057,-123.057  49.222,140062.4443
2021S051259150451,44.62972425,49.219,-123.057,-123.057  49.219,81130.42213
2021S051259150452,47.93161613,49.217,-123.057,-123.057  49.217,83485.31665
2021S051259150453,48.35648131,49.217,-123.061,-123.061  49.217,103349.6114
2021S051259150454,50.85867903,49.217,-123.063,-123.063  49.217,150906.6347
2021S051259150455,49.98170131,49.219,-123.067,-123.067  49.219,151447.204
2021S051259150457,51.16813681,49.216,-123.074,-123.074  49.216,138315.6594
2021S051259150459,46.20098188,49.213,-123.074,-123.074  49.213,100319.5373
2021S051259150460,55.4961664,49.214,-123.078,-123.078  49.214,63699.5052
2021S051259150461,48.20560243,49.216,-123.079,-123.079  49.216,43774.65229
2021S051259150462,50.05603033,49.216,-123.082,-123.082  49.216,42791.1981
2021S051259150463,50.06516788,49.217,-123.08,-123.08  49.217,95809.07705
2021S051259150465,47.39107738,49.221,-123.079,-123.079  49.221,67133.12249
2021S051259150466,63.23962596,49.222,-123.077,-123.077  49.222,59890.20613
2021S051259150468,45.71653326,49.221,-123.073,-123.073  49.221,84159.33527
2021S051259150469,52.50283369,49.224,-123.074,-123.074  49.224,82194.42558
2021S051259150470,49.70323524,49.224,-123.078,-123.078  49.224,63744.02026
