Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
10.5,23.7,27.8,8.1,39.8,11,27.8,51.9,23.1,0,0,0,12.7,7.7,33.1,0,89.5,18.5,82.5,6.8,28.8,16.1,96.3,77.8,11.5,16.2,7.2,7.4,0.0
21.9,21.9,31.8,0,35.1,12.9,29.5,50,17.1,0,0,0,21.8,0,33.6,0,89.7,20.5,85.0,3.4,27.1,11.9,100,86.3,14.6,15.7,6.5,6.8,0.0
4.8,9.5,17.3,2.8,41.3,14.7,38.5,40.4,18.2,0,0,0,21.9,6.3,45.3,2.3,91.3,21.2,87.8,3.4,29.7,14.4,96.1,59.7,29.5,13.4,5.4,3.8,0.0
7.7,17.9,6.3,7,37.4,9.8,78.5,60.8,23.6,0,0,0,15.3,10,40.9,4,94.5,39.2,86.5,9.3,42.4,7.6,99.1,58.3,38.9,28.8,3.3,8.9,0.0
0,19.4,30.5,9.1,50.6,17.9,44.4,52.8,20,0,0,0,40.4,0,64.9,5.3,91.3,27.8,85.2,7.6,16.9,13.6,96.2,75,17.1,22,6,5.6,0.0
0,14,15.8,6.8,34.7,12.9,42.1,34.2,23.3,0,0,0,39,3.4,65.3,1.7,90.1,23.7,85.7,7.6,23.7,11.9,98.6,65.8,25.6,13,5.7,0,0.0
4.3,8.7,32.1,8.7,51.8,19.8,54.7,50.7,20.6,0,0,0,24.1,4.8,52.7,0,92.9,17.3,91.7,10.2,36.4,22.9,96.1,90.7,30.9,5.9,5.5,6.7,4.2
12.1,17.2,15.2,3.9,44.4,18.5,42.4,51.5,20.6,0,0,0,35.1,0,75,0,91.6,33.3,85.2,2.5,13.6,11.0,100,81.9,23.5,10.6,5.4,6.1,0.0
8.9,7.8,19.5,12.3,49.3,20.8,47.8,43.3,26.8,0,0,0,39.3,12.1,71.7,0,93.1,27.3,86.5,3.4,33.1,18.6,100,64.2,21.1,17,5.7,4.5,12.5
5,5,25,7.5,45,17,38.6,34.1,20.9,0,0,0,50.8,5.7,73,4.9,91.0,25,85.7,7.6,21.2,16.9,98.5,72.7,25.6,11.5,6,6.8,0.0
9.7,11.3,30.3,15.3,57.6,22.2,40.9,48.5,23.5,1.2,0,0,38,6.6,67.9,0,91.9,16.7,83.9,1.7,38.1,19.5,100,60.7,35.3,17.8,5.5,3,0.0
7.7,9.2,22.6,11.1,54,22.4,30.2,37.7,20.4,0,0,0,47.3,6.8,69.9,0,91.0,18.9,82.5,8.5,25.4,20.3,97.2,71.7,22.4,2.8,6,3.8,0.0
7.7,7.7,27.2,13.7,51,24.3,38.6,38.6,27.5,0,0,0,48.7,0,62.3,0,92.3,22.7,86.5,7.6,22.9,13.6,100,77.3,27.5,11.6,5.6,9.1,0.0
8.5,10.6,28.5,15.9,53.1,27.1,35.7,38.1,18.2,0,0,0,29.9,2.8,54.7,0,79.7,25.6,83.9,5.1,22.0,11.0,96.9,61.9,18.2,13.1,6.1,4.8,0.0
5.6,15.5,21.6,13,47.9,24.3,48.3,51.7,18.8,0,0,0,46.6,3.7,68.3,3.1,92.5,28.3,87.1,7.6,39.8,17.8,94.1,46.6,20.3,16.1,5.1,5,0.0
4.1,16.3,36.2,7.8,43.3,19.2,31.9,40.4,33.3,0,0,0,38.4,0,58.1,0,89.2,19.6,81.2,4.2,27.1,13.6,100,68.1,9.5,13.8,6.8,4.3,8.3
6.7,20,23.5,4.3,37.7,14.1,32.4,41.2,32.1,0,0,0,19.8,7,34.5,2.3,90.0,14.7,83.9,5.9,21.2,7.6,96.2,88.3,17.9,6.9,6.5,0,0.0
10.2,16.3,27,4.9,37.5,12.5,27,35.1,16.2,0,0,0,28,6.5,54.7,0,88.6,18.9,83.9,4.2,25.4,8.5,98.4,89.2,18.9,6.5,6.2,8.1,0.0
5.1,7.7,28.6,11.1,42.4,23.5,28.6,42.9,26.2,0,0,0,27,2.6,39.1,0,86.9,14.3,83.9,3.4,26.3,8.5,97,69,11.9,8.8,6.2,0,0.0
0,7.3,24.3,6.9,48.8,17.1,37.8,51.4,31.6,0,0,0,40.9,4.3,67.7,0,92.6,22.2,86.5,5.1,20.3,10.2,98.2,81,28.9,16.1,6.1,5.4,0.0
